id,firstname,lastname,creditcardnumber,firstnameencrypted,lastnameencrypted,firstnamesoundex,lastnamesoundex,firstnamesoundexencrypted,lastnamesoundexencrypted,qnumber,qgramfnseparator,qgramsfirstname,qgramlnseparator,qgramslastname
rec-0000-org,kiara,mafopust,7379 5525 0522 7657,kiara,mafopust,K600,M112,K600,M112,2,QGramFN,/k,ki,ia,ar,ra,a\,QGramLN,/m,ma,af,fo,op,pu,us,st,t\
rec-0001-org,zack,vixon,4268 1378 4380 8971,zack,vixon,Z200,V250,Z200,V250,2,QGramFN,/z,za,ac,ck,k\,QGramLN,/v,vi,ix,xo,on,n\
rec-0002-org,kristen,stawicki,1937 4365 0580 2321,kristen,stawicki,K623,S320,K623,S320,2,QGramFN,/k,kr,ri,is,st,te,en,n\,QGramLN,/s,st,ta,aw,wi,ic,ck,ki,i\
rec-0003-org,damien,basedow,7475 8883 7932 5680,damien,basedow,D550,B230,D550,B230,2,QGramFN,/d,da,am,mi,ie,en,n\,QGramLN,/b,ba,as,se,ed,do,ow,w\
rec-0004-dup-0,elisq,awadahl,7198 8126 0767 1268,elisq,awadahl,E420,A340,E420,A340,2,QGramFN,/e,el,li,is,sq,q\,QGramLN,/a,aw,wa,ad,da,ah,hl,l\
rec-0005-org,anthony,tsamandanis,3497 6552 2443 2924,anthony,tsamandanis,A535,T255,A535,T255,2,QGramFN,/a,an,nt,th,ho,on,ny,y\,QGramLN,/t,ts,sa,am,ma,an,nd,da,an,ni,is,s\
rec-0006-org,jock,ottens,1224 0768 2502 5436,jock,ottens,J200,O352,J200,O352,2,QGramFN,/j,jo,oc,ck,k\,QGramLN,/o,ot,tt,te,en,ns,s\
rec-0007-org,makenzi,dorree,3570 9151 2203 7131,makenzi,dorree,M252,D600,M252,D600,2,QGramFN,/m,ma,ak,ke,en,nz,zi,i\,QGramLN,/d,do,or,rr,re,ee,e\
rec-0008-dup-0,breana,snenef,2927 6536 5268 2676,breana,snenef,B650,S551,B650,S551,2,QGramFN,/b,br,re,ea,an,na,a\,QGramLN,/s,sn,ne,en,ne,ef,f\
rec-0009-dup-0,acoya,rigley,0540 9004 7055 6219,acoya,rigley,A200,R240,A200,R240,2,QGramFN,/a,ac,co,oy,ya,a\,QGramLN,/r,ri,ig,gl,le,ey,y\
rec-0010-org,rupert,reed-gilbert,1372 9759 2306 7419,rupert,reed-gilbert,R163,R324,R163,R324,2,QGramFN,/r,ru,up,pe,er,rt,t\,QGramLN,/r,re,ee,ed,d-,-g,gi,il,lb,be,er,rt,t\
rec-0011-org,angelica,castellari,8163 1420 9779 6983,angelica,castellari,A524,C234,A524,C234,2,QGramFN,/a,an,ng,ge,el,li,ic,ca,a\,QGramLN,/c,ca,as,st,te,el,ll,la,ar,ri,i\
rec-0012-org,shannon,nazzocchitti,1143 4989 0338 2780,shannon,nazzocchitti,S550,N223,S550,N223,2,QGramFN,/s,sh,ha,an,nn,no,on,n\,QGramLN,/n,na,az,zz,zo,oc,cc,ch,hi,it,tt,ti,i\
rec-0013-dup-0,shne,sukwatthananan,0845 2791 6097 4954,shne,sukwatthananan,S500,S235,S500,S235,2,QGramFN,/s,sh,hn,ne,e\,QGramLN,/s,su,uk,kw,wa,at,tt,th,ha,an,na,an,na,an,n\
rec-0014-org,warrick,easley,0445 2058 1845 4311,warrick,easley,W620,E240,W620,E240,2,QGramFN,/w,wa,ar,rr,ri,ic,ck,k\,QGramLN,/e,ea,as,sl,le,ey,y\
rec-0015-org,kaela,kennerley,5415 3478 0260 6087,kaela,kennerley,K400,K564,K400,K564,2,QGramFN,/k,ka,ae,el,la,a\,QGramLN,/k,ke,en,nn,ne,er,rl,le,ey,y\
rec-0016-org,nemesia,farragher,9074 8102 5909 7572,nemesia,farragher,N520,F626,N520,F626,2,QGramFN,/n,ne,em,me,es,si,ia,a\,QGramLN,/f,fa,ar,rr,ra,ag,gh,he,er,r\
rec-0017-org,shai,mager,4341 4276 7292 7354,shai,mager,S000,M260,S000,M260,2,QGramFN,/s,sh,ha,ai,i\,QGramLN,/m,ma,ag,ge,er,r\
rec-0018-dup-0,saemus,harslett,3881 7213 6780 8585,saemus,harslett,S520,H624,S520,H624,2,QGramFN,/s,sa,ae,em,mu,us,s\,QGramLN,/h,ha,ar,rs,sl,le,et,tt,t\
rec-0019-org,asha,inveen,5726 5683 5189 1626,asha,inveen,A200,I515,A200,I515,2,QGramFN,/a,as,sh,ha,a\,QGramLN,/i,in,nv,ve,ee,en,n\
rec-0020-org,clain,whitesman,9246 1319 0152 7996,clain,whitesman,C450,W325,C450,W325,2,QGramFN,/c,cl,la,ai,in,n\,QGramLN,/w,wh,hi,it,te,es,sm,ma,an,n\
rec-0021-org,miranda,ebdell,2500 5428 3375 3946,miranda,ebdell,M653,E134,M653,E134,2,QGramFN,/m,mi,ir,ra,an,nd,da,a\,QGramLN,/e,eb,bd,de,el,ll,l\
rec-0022-dup-0,shenae,cilvride,6592 7824 8102 6080,shenae,cilvride,S500,C416,S500,C416,2,QGramFN,/s,sh,he,en,na,ae,e\,QGramLN,/c,ci,il,lv,vr,ri,id,de,e\
rec-0023-org,tyrone,wangel,3210 2645 1788 4627,tyrone,wangel,T650,W524,T650,W524,2,QGramFN,/t,ty,yr,ro,on,ne,e\,QGramLN,/w,wa,an,ng,ge,el,l\
rec-0024-org,shanaye,nicoloulias,9658 4802 8443 2179,shanaye,nicoloulias,S500,N244,S500,N244,2,QGramFN,/s,sh,ha,an,na,ay,ye,e\,QGramLN,/n,ni,ic,co,ol,lo,ou,ul,li,ia,as,s\
rec-0025-org,kadin,mcneill,2765 6103 3140 0641,kadin,mcneill,K350,M254,K350,M254,2,QGramFN,/k,ka,ad,di,in,n\,QGramLN,/m,mc,cn,ne,ei,il,ll,l\
rec-0026-org,jack,withrington,2762 8690 1273 6303,jack,withrington,J200,W365,J200,W365,2,QGramFN,/j,ja,ac,ck,k\,QGramLN,/w,wi,it,th,hr,ri,in,ng,gt,to,on,n\
rec-0027-org,faith,korompay,0496 1145 0385 6844,faith,korompay,F300,K651,F300,K651,2,QGramFN,/f,fa,ai,it,th,h\,QGramLN,/k,ko,or,ro,om,mp,pa,ay,y\
rec-0028-org,kristin,groenier,0420 7173 0609 7145,kristin,groenier,K623,G656,K623,G656,2,QGramFN,/k,kr,ri,is,st,ti,in,n\,QGramLN,/g,gr,ro,oe,en,ni,ie,er,r\
