id,firstname,lastname,creditcardnumber,firstnameencrypted,lastnameencrypted,firstnamesoundex,lastnamesoundex,firstnamesoundexencrypted,lastnamesoundexencrypted,qnumber,qgramfnseparator,qgramsfirstname,qgramlnseparator,qgramslastname
rec-0006-org,jock,ottens,1224 0768 2502 5436,rOXqMGMoKwdDDh3xun8mFQ==,bitYbcKiq3RSL52th+fxrg==,J200,O352,ublCTzMxHhDTQFCYQjNcPQ==,G55GyCmRX/yFSVdTHvXxPg==,2,QGramFN,5lLxHSYnLtwvDZ4xxXEQCA==,6nyunuDBs3ermDEcIyFrJw==,wGaG7fgYpFGZ/UWVGsuNvQ==,QGramLN,z8GNltP6BYI/dRXW4MMVCQ==,TGpPy8UuUXLvA+P8GVcAVg==,Y0LLmae/spFhrTp5qQf43A==,+Sbh5wED8+a/lMhao3C6GQ==,4qXz2lVNoBSyFYsbQFe5LA==
rec-0019-org,asha,inveen,5726 5683 5189 1626,6zw3cGAKEHU/horMhaa1Zw==,eJ0tE/VlZrsiZOlfy2VALA==,A200,I515,VjHmUaWwZnOgAROmJah+pw==,xD0FIeF6x/8RBe+spcchOA==,2,QGramFN,3y7yHMXjlHIruaqNKyuvyQ==,Nu1UPMP+JuT9CELon1whnw==,TvNEdMt1kMGkccoSPJzeMA==,QGramLN,JbKnkoPB3uQxMoQq/UoyPw==,/O5eUdbWPWVIs+IUxh5Zsg==,ijvnj5Mzyj1ABKb+odS5JA==,ek7PY7ohNCiDlScxJA661A==,+Sbh5wED8+a/lMhao3C6GQ==
rec-0034-org,coby,brunne,6090 8080 5108 7808,en8OKmgRmrE4ljSEnfbsLA==,dkKyrtmyxdeBWHBci5DHyQ==,C100,B650,Um/z9PTZUezytJrJsOruJA==,olorjMVqSfmfiN73/OkHXg==,2,QGramFN,W0+2Tbqrt7VnrOmMLCvY6g==,8GTNlEwtDHWp8MQ/1Ta9EA==,qcl3fW/wzSGlY50885Octw==,QGramLN,KXqS04jHz4/q96yvMWevRw==,brczv10c2mnjdiyP2O2YGw==,ezvzynz5alMAZkBV0xwEoQ==,1VKErqnkPlBidYj9eiTIGw==,TjCeyoC3j8Qpqmex6sdNZQ==
rec-0043-org,marcus,bail,4076 5847 1382 2603,2sugRjML3njkidAyUV42aQ==,19iocuePo0FnknsZTxpT5A==,M622,B400,STpVydQuTJocRB7SPEh2pQ==,L5rqNSzUd8K6Sel7fHREJQ==,2,QGramFN,qjxTTAZ6MPvZhTJKxCmxkQ==,TEdzDzlf+TzuFA4+wrJ3og==,epkjvzzTFHWdJ2EU3S31Sw==,SITJPN8wKyp5Hf1MVsFmSA==,0+vKOq6rK1ceX7CiV85fHA==,QGramLN,Ak7iPPZrDY+OtCBFnyySNQ==,F5ImMoCk52zpb0pkxB74Jg==,e1I7hDx1t3dbM67GnktziQ==
rec-0101-org,timara,ruso,7569 1621 7481 1662,RVTQdYb9Se9K85X45CfSFQ==,EPx249dUFOJ16jXmsRvhLw==,T560,R200,zQryrNENOG92jVBR+w7olA==,F7SZXcJvdBuMWpa6EKkWeg==,2,QGramFN,/XHqnEzxkdjdRnow6fNLVQ==,lRsMUcLFKrnxw5qzcXd1Fw==,qjxTTAZ6MPvZhTJKxCmxkQ==,TEdzDzlf+TzuFA4+wrJ3og==,2gP9jD8Zg5ugC6YTQg3UMQ==,QGramLN,brczv10c2mnjdiyP2O2YGw==,0+vKOq6rK1ceX7CiV85fHA==,LNfI1FQwyV48ZnvKOTRTEg==
rec-0207-org,keaton,gotz,5002 1112 6040 3313,/sy+AMnFBVhlRN8iS/QE9Q==,PLGLq004OkCTkslecVzG3A==,K350,G320,nbs3j6dzcyGU085amv81Eg==,iB1J0FcLvHv/nKB1eq5wuw==,2,QGramFN,skCGY48cCMhCBDs54/RIkQ==,8+Pc/sizssCS6oWJ6hARBA==,vNEcVvrafAbF9TEAHJFEug==,Z9x9EkrxhGKhgUZCtzmYjw==,/jL+3Vwpla2r7xTrsGMGTw==,QGramLN,6vPXwUjokpOvU1VdwLIN4g==,z8GNltP6BYI/dRXW4MMVCQ==,nJy71SygaQjBYGiYkzrszg==
rec-0216-org,kiana,pesec,4447 7873 6995 5682,1VT/3Nql8PlQwNKq9t/i2Q==,1HACJRW4K/vyLU1qRnTVyQ==,K500,P220,0ngdOxTro13C4LY+ZlQo4A==,5mdmkkb/Zv3LorokOp3iyw==,2,QGramFN,N6uTNi5UkF4/2AhJ8PUJ6w==,tJIjS5UyZTKCiw3XkEYQMg==,BMNjNlgaU6MYKOYS7jEbcQ==,Tbm4IHyAi7hwjB2sZAL6ag==,QGramLN,KGDk2GtDf5wtO4PV6udqxw==,2FuK0050Ob5rOz0o+DA0BQ==,eaoFlY43qEYWXCJb5zU3BA==,9vZ2wkOEkWyPM91kSfi1nQ==
rec-0226-org,macy,piegza,8457 7831 5241 2284,g2BPyMx3ase3O238++oJOg==,8/mwEg+hcsAv4fnDGnVxAw==,M200,P200,4XUGul0cyB+850Qthv63nw==,bMhtgHIzAC9POHYOoCoPhQ==,2,QGramFN,qjxTTAZ6MPvZhTJKxCmxkQ==,d/QPX5pBqBLKeHYncf4etQ==,sWgUzCVGszyM4OjCibsNyg==,QGramLN,0iVC6SRGUjAG+R2chtdDaA==,LLd7wMOW71su3GN6ziyEZA==,uRWhbt1sya2L+p3OwS7cJQ==,opmCRSpPuEmVAXpP1aT9rg==,DJox0xKVyw3Z2oqEHmOAKg==
rec-0263-org,molly,satay,7806 5318 7986 8463,RnwBRXEc0KtJL+L5TWU1pA==,2alHtjzRwbFQviX2erk5uw==,M400,S300,X5L6of2IUL3y02zTMYLLfg==,QP0doP2lNJsnVA+XdHhPmw==,2,QGramFN,XDNAf70sqmR3Jd0iqV0Nbw==,wSGeFZaPbVgXE7YjbkcRqg==,QXsRo/3JidSPcr62dzmOgQ==,bb60PO2fA0gWEw8AAartGQ==,QGramLN,uSpcZZ71KiNrD8Av/FS3cA==,vNEcVvrafAbF9TEAHJFEug==,r0bmolAXtBo0ObnnIG8pSA==,e5vQhjhu9dLNfEFUle0hCQ==
rec-0278-org,harry,rogan,2553 1120 4570 0073,mGZAaYb7c1/pKpgQNX7wJg==,/jk9jRAA98T3JdO63bxMEw==,H600,R250,XwL9km6ND+4zO50plutPxg==,+gySFHyQJyQUcrnENymQ7Q==,2,QGramFN,TvNEdMt1kMGkccoSPJzeMA==,TEdzDzlf+TzuFA4+wrJ3og==,tI9qKdp6EVn7pPogynvR4Q==,Tp9iPTfd/k+cv/CGEq4Fgg==,QGramLN,1P19b58PYRhwPcMXflzLVw==,cguNO0iOSgHGLpNA6RXu9g==,OC3F7XSbKK3m5yh+ib8zeQ==,BMNjNlgaU6MYKOYS7jEbcQ==
